weather_station,for_date,for_hour,rain
wardha/deoli/bhidi,2023-06-11,1,0.0
wardha/deoli/bhidi,2023-06-11,2,0.0
wardha/deoli/bhidi,2023-06-11,3,0.0
wardha/deoli/bhidi,2023-06-11,4,0.0
wardha/deoli/bhidi,2023-06-11,5,0.0
wardha/deoli/bhidi,2023-06-11,6,2.5
wardha/deoli/bhidi,2023-06-11,7,0.0
wardha/deoli/bhidi,2023-06-11,8,0.0
wardha/deoli/bhidi,2023-06-11,9,0.0
wardha/deoli/bhidi,2023-06-11,10,0.0
wardha/deoli/bhidi,2023-06-11,11,0.0
wardha/deoli/bhidi,2023-06-11,12,0.0
wardha/deoli/bhidi,2023-06-11,13,0.0
wardha/deoli/bhidi,2023-06-11,14,0.0
wardha/deoli/bhidi,2023-06-11,15,0.0
wardha/deoli/bhidi,2023-06-11,16,0.0
wardha/deoli/bhidi,2023-06-11,17,0.0
wardha/deoli/bhidi,2023-06-11,18,0.0
wardha/deoli/bhidi,2023-06-11,19,0.0
wardha/deoli/bhidi,2023-06-11,20,0.0
wardha/deoli/bhidi,2023-06-11,21,0.0
wardha/deoli/bhidi,2023-06-11,22,0.0
wardha/deoli/bhidi,2023-06-11,23,0.0
wardha/deoli/bhidi,2023-06-12,0,0.0
wardha/deoli/bhidi,2023-06-12,1,0.0
wardha/deoli/bhidi,2023-06-12,2,0.0
wardha/deoli/bhidi,2023-06-12,3,0.0
wardha/deoli/bhidi,2023-06-12,4,0.0
wardha/deoli/bhidi,2023-06-12,5,0.0
wardha/deoli/bhidi,2023-06-12,6,0.0
wardha/deoli/bhidi,2023-06-12,7,0.0
wardha/deoli/bhidi,2023-06-12,8,0.0
wardha/deoli/bhidi,2023-06-12,9,0.0
wardha/deoli/bhidi,2023-06-12,10,0.0
wardha/deoli/bhidi,2023-06-12,11,0.0
wardha/deoli/bhidi,2023-06-12,12,0.0
wardha/deoli/bhidi,2023-06-12,13,0.0
wardha/deoli/bhidi,2023-06-12,14,0.0
wardha/deoli/bhidi,2023-06-12,15,0.0
wardha/deoli/bhidi,2023-06-12,16,0.0
wardha/deoli/bhidi,2023-06-12,17,0.0
wardha/deoli/bhidi,2023-06-12,18,0.0
wardha/deoli/bhidi,2023-06-12,19,0.0
wardha/deoli/bhidi,2023-06-12,20,0.0
wardha/deoli/bhidi,2023-06-12,21,0.0
wardha/deoli/bhidi,2023-06-12,22,0.0
wardha/deoli/bhidi,2023-06-12,23,0.0
wardha/deoli/bhidi,2023-06-13,0,0.0
wardha/deoli/bhidi,2023-06-13,1,0.0
wardha/deoli/bhidi,2023-06-13,2,0.0
wardha/deoli/bhidi,2023-06-13,3,0.0
wardha/deoli/bhidi,2023-06-13,4,0.0
wardha/deoli/bhidi,2023-06-13,5,0.0
wardha/deoli/bhidi,2023-06-13,6,0.0
wardha/deoli/bhidi,2023-06-13,7,0.0
wardha/deoli/bhidi,2023-06-13,8,0.0
wardha/deoli/bhidi,2023-06-13,9,0.0
wardha/deoli/bhidi,2023-06-13,10,0.0
wardha/deoli/bhidi,2023-06-13,11,0.0
wardha/deoli/bhidi,2023-06-13,12,0.0
wardha/deoli/bhidi,2023-06-13,13,0.0
wardha/deoli/bhidi,2023-06-13,14,0.0
wardha/deoli/bhidi,2023-06-13,15,0.0
wardha/deoli/bhidi,2023-06-13,16,0.0
wardha/deoli/bhidi,2023-06-13,17,0.0
wardha/deoli/bhidi,2023-06-13,18,0.0
wardha/deoli/bhidi,2023-06-13,19,0.0
wardha/deoli/bhidi,2023-06-13,20,0.0
wardha/deoli/bhidi,2023-06-13,21,0.0
wardha/deoli/bhidi,2023-06-13,22,0.0
wardha/deoli/bhidi,2023-06-13,23,0.0
wardha/deoli/bhidi,2023-06-14,0,0.0
wardha/deoli/bhidi,2023-06-14,1,0.0
wardha/deoli/bhidi,2023-06-14,2,0.0
wardha/deoli/bhidi,2023-06-14,3,0.0
wardha/deoli/bhidi,2023-06-14,4,0.0
wardha/deoli/bhidi,2023-06-14,5,0.0
wardha/deoli/bhidi,2023-06-14,6,0.0
